ABL1	ITGB2
ABL1	YWHAZ
ABL1	EPHA3
ABL1	UBASH3B
ABL1	MDM2
ABL1	PAK1
ABL1	TOP1
ABL1	JUN
ABL1	SHB
ABL1	GSX2
ABL1	PIK3R1
ABL1	RB1
ABL1	POLD1
ABL1	CDKN1A
ABL1	JAK1
ABL1	AP2B1
ABL1	KMT2B
ABL1	FOS
ABL1	NEDD4
ABL1	EP300
ABL1	HSPA4
ABL1	EPB41L3
ABL1	DNM3
ABL1	SOS2
ABL1	SH3KBP1
ABL1	PTPN12
ABL1	PIK3R2
ABL1	GRAP2
ABL1	RAD51
ABL1	CENPA
ABL1	FLNC
ABL1	BAG1
ABL1	PDE4D
ABL1	TLN2
ABL1	NEDD4L
ABL1	KIT
ABL1	REPS1
ABL1	HSPD1
ABL1	FLNA
ABL1	PTGES3
ABL1	SPTAN1
ABL1	CRKL
ABL1	SPAG9
ABL1	APP
ABL1	PRKCA
ABL1	XRCC6
ABL1	CBL
ABL1	PTPN4
ABL1	ACTA1
ABL1	STUB1
ABL1	YWHAB
ABL1	RAD52
ABL1	PLSCR1
ABL1	UBC
ABL1	CBLB
ABL1	YTHDC1
ABL1	SNX3
ABL1	EPS15
ABL1	PAK4
ABL1	SORBS3
ABL1	PARK7
ABL1	GTF2F1
ABL1	CTNNB1
ABL1	PTPN6
ABL1	SF1
ABL1	LIG3
ABL1	NCKIPSD
ABL1	STAT5B
ABL1	CDK5
ABL1	SUV39H2
ABL2	PDGFRB
ABL2	HRAS
ABL2	CRK
ABL2	FYN
ABL2	SORBS2
ABL2	PIK3R3
ABL2	DOK1
ABL2	NEDD4
ABL2	CAV1
ABL2	ABL1
ABL2	PLCG1
ABL2	RIN1
ABL2	AR
ABL2	C15orf48
ABL2	SRC
ABL2	GRB2
ABL2	BICD2
ABL2	ERBB2
ABL2	OIP5
ABL2	FLT3
ABL2	BAG5
ABLIM1	HSF2BP
ABLIM1	MAPRE1
ABLIM1	CDH1
ABLIM1	ESR1
ABLIM1	ABCE1
ABLIM1	LIMA1
ABLIM1	CBY1
ABLIM1	ODF2
ABLIM1	FHL2
ABLIM1	HOOK2
ABLIM1	CEP128
ABLIM1	ABRA
ABLIM1	KIF14
ABLIM1	TSC22D4
ABLIM1	BEGAIN
ABLIM1	CASK
ABLIM1	ACTB
ABLIM1	BCL2L1
ABLIM1	KRT15
ABLIM1	KIF20A
ABLIM1	KIAA0753
ABLIM1	FBF1
ABLIM1	MYO18A
ABLIM1	ATG16L1
ABLIM1	CALCOCO2
ABLIM1	ARHGEF6
ABLIM1	MYO1C
ABLIM1	FLNA
ABLIM1	PDLIM7
ABLIM1	RALBP1
ABLIM1	TTN
ABLIM1	DBN1
ABLIM2	TTN
ABLIM2	PANK2
